t,y_ref,y,v,acc,P_pos_sp,P_pos,P_neg_sp,P_neg,F_req,F_each,F_pos,F_neg,F_net
0.316,0.015,0.015,-2.56207e-16,-3.99452e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.318,0.015,0.015,-2.57e-16,-3.96256e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.32,0.015,0.015,-2.57786e-16,-3.93086e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.322,0.015,0.015,-2.58566e-16,-3.89941e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.324,0.015,0.015,-2.5934e-16,-3.86822e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.326,0.015,0.015,-2.60107e-16,-3.83727e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.328,0.015,0.015,-2.60868e-16,-3.80658e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.33,0.015,0.015,-2.61624e-16,-3.77612e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.332,0.015,0.015,-2.62373e-16,-3.74591e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.334,0.015,0.015,-2.63116e-16,-3.71595e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.336,0.015,0.015,-2.63853e-16,-3.68622e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.338,0.015,0.015,-2.64584e-16,-3.65673e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.34,0.015,0.015,-2.6531e-16,-3.62748e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.342,0.015,0.015,-2.6603e-16,-3.59846e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.344,0.015,0.015,-2.66744e-16,-3.56967e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.346,0.015,0.015,-2.67452e-16,-3.54111e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.348,0.015,0.015,-2.68154e-16,-3.51278e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.35,0.015,0.015,-2.68851e-16,-3.48468e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.352,0.015,0.015,-2.69543e-16,-3.4568e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.354,0.015,0.015,-2.70229e-16,-3.42915e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.356,0.015,0.015,-2.70909e-16,-3.40171e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.358,0.015,0.015,-2.71584e-16,-3.3745e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.36,0.015,0.015,-2.72253e-16,-3.3475e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
0.362,0.015,0.015,-2.72917e-16,-3.32072e-16,126.306,126.306,76.344,76.344,98.1,49.05,49.05,49.05,98.1
